data;cliente_id;unid
10/01/2023;483014;3415
06/01/2023;483014;2968
05/01/2023;483014;2845
12/01/2023;483014;2798
03/01/2023;483014;2762
09/01/2023;483014;2599
02/01/2023;483014;2522
07/01/2023;483014;2506
07/02/2023;483014;2466
13/01/2023;483014;2151
03/02/2023;483014;2041
08/02/2023;483014;1946
07/01/2023;123224;1863
06/02/2023;934110;1851
16/01/2023;483014;1848
07/03/2023;101641;1762
16/01/2023;130884;1757
06/02/2023;483014;1689
09/02/2023;483014;1668
07/02/2023;934110;1632
18/01/2023;483014;1584
20/01/2023;483014;1584
14/01/2023;483014;1580
09/02/2023;227931;1548
10/02/2023;483014;1535
14/02/2023;477369;1504
23/01/2023;130884;1461
23/02/2023;130884;1451
08/01/2023;483014;1449
17/01/2023;483014;1439
05/03/2023;101641;1410
31/01/2023;483014;1360
01/01/2023;483014;1330
11/01/2023;483014;1329
08/02/2023;477369;1321
04/02/2023;483014;1307
13/02/2023;477369;1292
24/01/2023;483014;1250
23/02/2023;161616;1224
28/02/2023;227931;1199
11/02/2023;477369;1181
18/02/2023;542522;1161
27/03/2023;374990;1149
20/02/2023;542522;1145
22/02/2023;161616;1145
12/02/2023;477369;1109
08/02/2023;934110;1105
12/01/2023;227931;1103
16/02/2023;483014;1101
19/02/2023;542522;1090
01/02/2023;483014;1047
09/02/2023;477369;1038
10/02/2023;477369;1037
01/03/2023;227931;1017
28/03/2023;374990;991
15/02/2023;483014;988
21/03/2023;374990;984
04/01/2023;483014;979
30/01/2023;483014;973
19/02/2023;483014;972
09/03/2023;101641;971
17/02/2023;542522;970
05/02/2023;934110;962
22/02/2023;542522;953
22/01/2023;483014;950
08/03/2023;508366;949
28/02/2023;171016;946
19/01/2023;489691;940
20/03/2023;489691;939
19/01/2023;483014;924
26/03/2023;374990;921
14/03/2023;101641;921
22/03/2023;374990;918
25/01/2023;374990;905
17/02/2023;483014;890
15/01/2023;130884;889
16/02/2023;542522;887
21/02/2023;542522;886
22/02/2023;130884;884
25/03/2023;374990;879
06/02/2023;477369;869
16/03/2023;316567;868
12/03/2023;101641;867
04/03/2023;101641;855
26/01/2023;374990;845
13/02/2023;483014;844
07/02/2023;477369;840
15/03/2023;101641;836
08/03/2023;101641;836
09/02/2023;934110;831
23/02/2023;542522;821
27/01/2023;483014;813
06/03/2023;542522;807
21/03/2023;101641;802
02/02/2023;483014;800
25/01/2023;483014;796
24/02/2023;542522;792
14/03/2023;508366;785
21/01/2023;483014;784
23/03/2023;374990;783
24/03/2023;374990;780
07/03/2023;508366;777
20/02/2023;483014;771
20/03/2023;477369;765
24/02/2023;161616;756
14/02/2023;483014;753
15/02/2023;542522;753
22/01/2023;130884;748
24/02/2023;130884;743
23/01/2023;483014;739
09/03/2023;508366;739
18/01/2023;227931;739
04/03/2023;542522;735
03/03/2023;542522;730
01/02/2023;315422;726
05/03/2023;542522;722
23/03/2023;130884;708
12/02/2023;483014;706
03/02/2023;227931;705
07/03/2023;542522;704
23/02/2023;508366;701
02/02/2023;489691;694
15/01/2023;483014;690
13/02/2023;868428;688
09/02/2023;868428;688
13/03/2023;508366;687
11/02/2023;483014;686
06/02/2023;315422;686
09/03/2023;477369;684
28/02/2023;267407;683
05/02/2023;483014;682
12/02/2023;868428;678
18/02/2023;483014;677
08/02/2023;868428;673
22/02/2023;483014;671
02/02/2023;315422;670
21/03/2023;477369;669
07/03/2023;477369;669
01/03/2023;542522;667
16/02/2023;508366;666
04/01/2023;489691;663
24/02/2023;508366;659
17/03/2023;316567;658
12/02/2023;530369;657
01/02/2023;489691;656
22/01/2023;489691;651
07/03/2023;483014;649
14/02/2023;220552;647
12/03/2023;542522;647
03/02/2023;315422;642
10/03/2023;542522;633
07/02/2023;171016;632
13/03/2023;542522;630
08/02/2023;172952;629
22/02/2023;508366;626
06/02/2023;542522;624
26/02/2023;508366;622
11/03/2023;542522;622
25/02/2023;130884;617
21/03/2023;489691;611
13/02/2023;227931;610
06/03/2023;477369;607
05/02/2023;542522;606
06/03/2023;172952;606
08/03/2023;542522;605
09/03/2023;542522;604
08/02/2023;171016;601
25/01/2023;534480;601
14/03/2023;477369;600
07/03/2023;868428;599
04/01/2023;171016;599
04/02/2023;315422;598
05/02/2023;477369;598
31/01/2023;220552;596
07/02/2023;868428;594
14/01/2023;355840;594
10/01/2023;171016;586
22/03/2023;227931;586
07/02/2023;220552;582
25/02/2023;161616;579
10/01/2023;220552;577
15/03/2023;316567;576
24/01/2023;142883;575
01/03/2023;483014;573
11/03/2023;508366;573
09/01/2023;171016;572
14/02/2023;227931;571
25/02/2023;508366;570
09/02/2023;172952;569
28/01/2023;123224;567
05/01/2023;220552;565
28/02/2023;161616;565
23/02/2023;220552;565
25/02/2023;542522;559
07/03/2023;172952;559
14/02/2023;165118;558
08/03/2023;227931;556
05/02/2023;868428;551
15/03/2023;508366;551
10/03/2023;508366;551
21/01/2023;127740;550
19/02/2023;508366;549
12/03/2023;508366;548
17/01/2023;172952;547
10/02/2023;227931;545
28/02/2023;542522;545
02/03/2023;227931;545
07/03/2023;220552;543
05/02/2023;315422;543
13/01/2023;171016;542
06/03/2023;101641;542
06/01/2023;220552;541
15/02/2023;508366;541
27/02/2023;171016;541
24/03/2023;534480;541
06/02/2023;868428;540
13/02/2023;165118;539
15/02/2023;220552;538
04/02/2023;934110;537
11/02/2023;172952;536
10/03/2023;172952;533
31/01/2023;171016;533
16/03/2023;508366;532
09/03/2023;172952;532
21/03/2023;508366;530
17/01/2023;220552;528
16/02/2023;220552;525
15/03/2023;477369;525
18/02/2023;508366;524
13/03/2023;172952;524
